0.5457,0.5467,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457
0.5802,0.5857,0.5802,0.5802,0.5802,0.5811,0.5857,0.5857,0.5802,0.5857
0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383
0.5969,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783
0.4624,0.4624,0.4624,0.468,0.468,0.468,0.4624,0.4624,0.468,0.4624
0.508,0.508,0.5033,0.508,0.5024,0.5413,0.5024,0.5024,0.5024,0.508
0.5457,0.5457,0.5402,0.5457,0.5457,0.5402,0.5457,0.5402,0.5457,0.5457
0.5857,0.5857,0.5857,0.5857,0.5857,0.5802,0.5885,0.5857,0.5857,0.5857
0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383
0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783
0.4624,0.4624,0.4624,0.468,0.4624,0.468,0.4624,0.468,0.4624,0.468
0.5024,0.5024,0.5024,0.5033,0.508,0.5024,0.5024,0.5024,0.508,0.508
0.5402,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457
0.5857,0.5802,0.5857,0.5802,0.5857,0.5857,0.5857,0.5802,0.5802,0.5857
0.5383,0.5383,0.5383,0.5383,0.5383,0.5031,0.5383,0.5383,0.5383,0.5383
0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783
0.4624,0.468,0.4624,0.4624,0.4643,0.468,0.468,0.468,0.4624,0.4624
0.5024,0.5024,0.508,0.5024,0.508,0.5283,0.508,0.5024,0.5024,0.5024
0.5402,0.5457,0.5457,0.5457,0.5457,0.5402,0.5457,0.5402,0.5457,0.5402
0.5857,0.5959,0.5857,0.5857,0.5857,0.5857,0.5857,0.5802,0.5857,0.5857
0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383
0.5783,0.5783,0.5783,0.5783,0.5839,0.5783,0.5783,0.5783,0.5783,0.5783
0.4624,0.468,0.468,0.468,0.468,0.4624,0.4689,0.4624,0.468,0.4624
0.508,0.508,0.508,0.508,0.5024,0.5024,0.5043,0.5357,0.5024,0.5024
