0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5402,0.5457,0.5457,0.5457
0.5857,0.5857,0.5857,0.5857,0.5857,0.5857,0.5802,0.5857,0.5857,0.5857
0.5383,0.5383,0.5383,0.5383,0.5383,0.5031,0.5383,0.5383,0.5383,0.5383
0.5783,0.5765,0.5783,0.5783,0.5783,0.5783,0.5969,0.5783,0.5783,0.5783
0.4624,0.4624,0.468,0.468,0.4624,0.4624,0.468,0.4624,0.4624,0.468
0.508,0.508,0.5024,0.5024,0.5024,0.5024,0.5024,0.508,0.508,0.508
0.5457,0.5402,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457
0.5857,0.5857,0.5857,0.5857,0.5857,0.5857,0.5857,0.5802,0.5857,0.5857
0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5031,0.5383,0.5383
0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783
0.4624,0.468,0.4624,0.4624,0.4513,0.468,0.468,0.468,0.4624,0.468
0.508,0.508,0.5024,0.5024,0.5024,0.4931,0.508,0.508,0.508,0.5024
0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457
0.5848,0.5802,0.5857,0.5857,0.5857,0.5857,0.5857,0.5857,0.5811,0.5857
0.5383,0.5031,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383
0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783
0.468,0.468,0.4624,0.5013,0.4624,0.4726,0.4624,0.4624,0.4624,0.4624
0.5098,0.5024,0.5024,0.508,0.508,0.5413,0.5413,0.508,0.508,0.5024
0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457,0.5457
0.5857,0.5857,0.5802,0.5857,0.5857,0.5857,0.5857,0.5802,0.5857,0.5802
0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5383,0.5633,0.5383,0.5559
0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783,0.5783
0.468,0.468,0.468,0.468,0.468,0.4624,0.468,0.4624,0.468,0.4624
0.5357,0.5024,0.508,0.508,0.508,0.5024,0.508,0.5024,0.508,0.508
