0.5457,0.5476,0.5439,0.5328,0.5513,0.5476,0.5457,0.5263,0.5411,0.5485
0.5756,0.5987,0.6089,0.6015,0.6015,0.6163,0.5969,0.6015,0.5996,0.582
0.518,0.5004,0.4994,0.5254,0.5161,0.518,0.5161,0.5115,0.5152,0.5254
0.5626,0.5357,0.5431,0.5524,0.5635,0.5719,0.5719,0.5867,0.5867,0.5969
0.5096,0.5031,0.5087,0.5096,0.518,0.5226,0.5152,0.5087,0.4994,0.5013
0.5191,0.5256,0.5422,0.5404,0.5394,0.5219,0.5256,0.532,0.5237,0.5256
0.5467,0.5476,0.5439,0.5319,0.5522,0.5476,0.5457,0.5263,0.5411,0.5494
0.5607,0.5626,0.5663,0.5913,0.5728,0.5737,0.5793,0.6144,0.6163,0.6237
0.5281,0.5106,0.5087,0.5393,0.5152,0.5189,0.5161,0.5115,0.5143,0.5244
0.5607,0.5811,0.5783,0.5533,0.5626,0.5978,0.5811,0.5663,0.5783,0.5746
0.5096,0.5031,0.5059,0.5115,0.5198,0.5226,0.5152,0.5087,0.4994,0.5106
0.495,0.5256,0.533,0.5496,0.5246,0.5256,0.5339,0.532,0.558,0.5607
0.5522,0.5485,0.5606,0.5337,0.5522,0.5504,0.5467,0.5272,0.5411,0.5522
0.5941,0.5802,0.5913,0.5783,0.5978,0.6098,0.607,0.5969,0.5885,0.6061
0.5281,0.5106,0.5124,0.5393,0.5161,0.518,0.5161,0.5124,0.5143,0.5235
0.5617,0.5719,0.5496,0.5431,0.5617,0.5496,0.5626,0.5598,0.57,0.5756
0.4735,0.505,0.5041,0.518,0.5374,0.5226,0.5152,0.5096,0.4994,0.5189
0.4885,0.5107,0.5469,0.5191,0.5339,0.532,0.5172,0.5024,0.5515,0.5626
0.5457,0.5485,0.5606,0.5485,0.5383,0.5476,0.5263,0.5254,0.53,0.5513
0.5644,0.5394,0.5552,0.5617,0.5524,0.5663,0.5867,0.5876,0.5996,0.6219
0.5485,0.518,0.5207,0.5346,0.5244,0.517,0.5189,0.505,0.5115,0.5207
0.5607,0.5644,0.5672,0.5607,0.5737,0.5543,0.5552,0.5644,0.5422,0.5756
0.4809,0.5143,0.5198,0.5226,0.542,0.5226,0.5152,0.5207,0.5096,0.5272
0.5033,0.5107,0.52,0.5839,0.5867,0.5931,0.6089,0.6052,0.583,0.5857
