0.5744,0.5846,0.58,0.5513,0.5744,0.5615,0.5615,0.5615,0.5624,0.5615
0.6006,0.5941,0.6181,0.6385,0.6265,0.6181,0.607,0.6089,0.5987,0.5941
0.5781,0.5846,0.5698,0.542,0.5393,0.5356,0.5365,0.5365,0.5356,0.5356
0.6098,0.595,0.6144,0.6311,0.6181,0.5867,0.5904,0.5931,0.5922,0.5793
0.4615,0.4948,0.4735,0.5254,0.5374,0.5411,0.5513,0.5494,0.5494,0.5494
0.4885,0.4857,0.5163,0.5256,0.5043,0.5459,0.5413,0.5422,0.5441,0.5422
0.5735,0.5893,0.5781,0.5531,0.5735,0.5624,0.5615,0.5615,0.5615,0.5596
0.6219,0.6246,0.6293,0.633,0.633,0.6219,0.6274,0.608,0.6117,0.6144
0.5791,0.5846,0.5717,0.5402,0.5365,0.5356,0.5365,0.5365,0.5356,0.5346
0.5987,0.5913,0.6246,0.6265,0.6117,0.62,0.6163,0.608,0.607,0.5931
0.4606,0.4948,0.4754,0.5244,0.5383,0.542,0.5541,0.5522,0.5531,0.5541
0.4839,0.4904,0.5246,0.5265,0.5061,0.5635,0.5496,0.5515,0.5552,0.5598
0.5726,0.5837,0.58,0.5531,0.5772,0.5596,0.5615,0.5624,0.5615,0.5578
0.6135,0.6219,0.6478,0.6422,0.6311,0.6339,0.6237,0.6219,0.6209,0.6283
0.5791,0.5828,0.5735,0.5383,0.5356,0.5346,0.5346,0.5346,0.5346,0.5346
0.5969,0.5867,0.6357,0.6339,0.6256,0.6339,0.6107,0.6052,0.5931,0.583
0.4606,0.4994,0.4772,0.5281,0.5402,0.5476,0.5513,0.5513,0.5513,0.5513
0.545,0.5237,0.5691,0.5783,0.5543,0.557,0.5487,0.5219,0.5524,0.5524
0.5754,0.5763,0.5772,0.5578,0.58,0.5606,0.5643,0.5652,0.5652,0.5643
0.6024,0.6135,0.6431,0.6348,0.6311,0.6154,0.6237,0.6376,0.6283,0.6283
0.5809,0.58,0.5726,0.5356,0.5328,0.53,0.5309,0.53,0.53,0.53
0.6043,0.5719,0.6209,0.6256,0.6191,0.57,0.5941,0.5969,0.5857,0.5839
0.4615,0.4985,0.4865,0.5393,0.5504,0.5522,0.5587,0.5606,0.5596,0.5606
0.545,0.4922,0.5635,0.5515,0.545,0.5913,0.5644,0.5737,0.5857,0.5904
